Spacecraft,Payload,Launch Date,Carrier Rocket,Country,Operator,Mission Type,Outcome,Description,References
Pioneer 0,Able I,17 August 1958,Thor DM-18 Able I,United States,USAF,Orbiter,Launch failure,First attempted launch beyond Earth orbit; failed to orbit due to turbopump gearbox malfunction resulting in first-stage explosion. Reached apogee of 16 kilometres (9.9 mi).,"[3, 4]"
Luna E-1 No.1,,23 September 1958,Luna,Soviet Union,OKB-1,Impactor,Launch failure,Failed to orbit; rocket disintegrated due to excessive vibration.,"[3, 5]"
Pioneer 1,Able II,11 October 1958,Thor DM-18 Able I,United States,NASA,Orbiter,Launch failure,"Failed to orbit; premature second-stage cutoff due to accelerometer failure. Later known as Pioneer 1. Reached apogee of 113,800 kilometres (70,700 mi).","[3, 6]"
Luna E-1 No.2,,11 October 1958,Luna,Soviet Union,OKB-1,Impactor,Launch failure,Failed to orbit; carrier rocket exploded due to excessive vibration.,"[3, 5]"
Pioneer 2,Able III,8 November 1958,Thor DM-18 Able I,United States,NASA,Orbiter,Launch failure,"Failed to orbit; premature second-stage cutoff due to erroneous command by ground controllers; third stage failed to ignite due to broken electrical connection. Reached apogee of 1,550 kilometres (960 mi).","[3, 7]"
Luna E-1 No.3,,4 December 1958,Luna,Soviet Union,OKB-1,Impactor,Launch failure,Failed to orbit; seal failure in hydrogen peroxide pump cooling system resulted in core-stage underperformance.,"[3, 5]"
Pioneer 3,,6 December 1958,Juno II,United States,NASA,Flyby,Launch failure,"Failed to orbit; premature first-stage cutoff. Reached apogee of 102,360 kilometres (63,600 mi).","[3, 8]"
Luna 1,E-1 No.4,2 January 1959,Luna,Soviet Union,OKB-1,Impactor,Launch Failure,"Carrier rocket guidance problem resulted in failure to impact Moon, flew past in a heliocentric orbit. Closest approach 5,995 kilometres (3,725 mi) on 4 January.","[9, 10]"
Pioneer 4,,3 March 1959,Juno II,United States,NASA,Flyby,Partial failure,"Second-stage overperformance resulted in flyby at greater altitude than expected, out of instrument range, with 58,983 kilometres (36,650 mi) of distance. Closest approach at 22:25 UTC on 4 March. First U.S. spacecraft to leave Earth orbit.","[9, 11]"
E-1A No.1,,18 June 1959,Luna,Soviet Union,OKB-1,Impactor,Launch failure,Failed to orbit; guidance system malfunction.,[9]
Luna 2,E-1A No.2,12 September 1959,Luna,Soviet Union,OKB-1,Impactor,Successful,Successful impact at 21:02 on 14 September 1959. First spacecraft to reach lunar surface.,[12]
Luna 3,E-2A No.1,4 October 1959,Luna,Soviet Union,OKB-1,Flyby,Successful,Returned first images of the far side of the Moon.,[13]
Pioneer P-3,ble IV,26 November 1959,Atlas-D Able,United States,NASA,Orbiter,Launch failure,Failed to orbit; payload fairing disintegrated due to design fault.,"[9, 14]"
Luna E-3 No.1,,15 April 1960,Luna,Soviet Union,OKB-1,Flyby,Launch failure,Failed to orbit; premature third-stage cutoff.,[15]
Luna E-3 No.2,,16 April 1960,Luna,Soviet Union,OKB-1,Flyby,Launch failure,Failed to orbit; rocket disintegrated ten seconds after launch.,[15]
Pioneer P-30,Able VA,25 September 1960,Atlas-D Able,United States,NASA,Orbiter,Launch failure,Failed to orbit; second-stage oxidiser system malfunction resulting in premature cutoff.,"[15, 16]"
Pioneer P-31,Able VB,15 December 1960,Atlas-D Able,United States,NASA,Orbiter,Launch failure,"Failed to orbit, exploded 68 seconds after launch, at an altitude of 12.2 kilometres (7.6 mi). Second stage ignited while first stage was still attached and burning.","[15, 17]"
Ranger 3,P-34,26 January 1962,Atlas LV-3 Agena-B,United States,NASA,Impactor,Spacecraft failure,"Partial launch failure due to guidance problem; attempt to correct using spacecraft's engine resulted in it missing the Moon by 36,793 kilometres (22,862 mi).","[18, 19]"
Ranger 4,P-35,23 April 1962,Atlas LV-3 Agena-B,United States,NASA,Impactor,Spacecraft failure,"Failed to deploy solar panels, ran out of power ten hours after launch; incidental impact on the far side of the Moon on 26 April.","[18, 20]"
Ranger 5,P-36,18 October 1962,Atlas LV-3 Agena-B,United States,NASA,Impactor,Spacecraft failure,"Solar panels erroneously disengaged from power system, failed .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}8+3⁄4 hours after launch when batteries were depleted. Missed the Moon as course correction was not completed.","[18, 21]"
Luna E-6 No.2,,4 January 1963,Molniya-L,Soviet Union,OKB-1,Lander,Launch failure,Failed to depart Low Earth orbit; guidance system power failure prevented upper-stage ignition.,"[22, 23]"
Luna E-6 No.3,,3 February 1963,Molniya-L,Soviet Union,OKB-1,Lander,Launch failure,Failed to orbit; guidance failure.,[23]
Luna 4,E-6 No.4,2 April 1963,Molniya-L,Soviet Union,OKB-1,Lander,Spacecraft failure,"Failed to perform mid-course correction, remained in high Earth orbit until given escape velocity by orbital perturbation.","[23, 24]"
Ranger 6,P-54,30 January 1964,Atlas LV-3 Agena-B,United States,NASA,Impactor,Spacecraft failure,"Impacted on 2 February 1964, failed to return images due to power system failure.","[25, 26]"
Luna E-6 No.6,,21 March 1964,Molniya-M,Soviet Union,OKB-1,Lander,Launch failure,Failed to orbit; third stage underperformed due to oxidiser valve failure.,[25]
Luna E-6 No.5,,20 April 1964,Molniya-M,Soviet Union,OKB-1,Lander,Launch failure,Failed to orbit; power failure caused by broken connection resulted in premature third-stage cutoff.,[25]
Ranger 7,,28 July 1964,Atlas LV-3 Agena-B,United States,NASA,Impactor,Successful,Impacted on 30 July 1964 at 13:25:48 UTC.,[27]
